// Los primeros LSFR
// 0000 0001 0003 0007
// 000f 001e 003c 0078
// 00f0 01e1 03c3 0787

1 00000011 1101
1 00000011 1011
1 00000011 0111

1 10011111 1110
1 00000011 1101
1 00000011 1011
1 00000011 0111

1 00001101 1110
1 00000011 1101
1 00000011 1011
1 00000011 0111

1 00011111 1110
1 00000011 1101
1 00000011 1011
1 00000011 0111

1 01110001 1110
1 00000011 1101
1 00000011 1011
1 00000011 0111

1 01100001 1110
1 10011111 1101
1 00000011 1011
1 00000011 0111

1 01100011 1110
1 00001101 1101
1 00000011 1011
1 00000011 0111

1 00000001 1110
1 00011111 1101
1 00000011 1011
1 00000011 0111

1 00000011 1110
1 01110001 1101
1 00000011 1011
1 00000011 0111

1 10011111 1110
1 01100001 1101
1 10011111 1011
1 00000011 0111

1 00001101 1110
1 01100011 1101
1 00001101 1011
1 00000011 0111

1 00011111 1110
1 00000001 1101
1 00011111 1011
1 00000011 0111
