
//w1,w2, rst, data_in1, data_in2, out1

// write test


// reset test

0 0 1 00000000 00000000 00000000
0 0 1 00000000 00000000 00000000
0 0 1 00000000 00000000 00000000

// write test

1 0 0 00010011 00000000 00010011
1 0 0 01010011 00000000 01010011
1 0 0 01010010 00000000 01010010

0 1 0 10010011 00000001 00000001
0 1 0 11010011 00000010 00000010
0 1 0 11010010 10000000 10000000

1 1 0 00010011 00000000 00010011
1 1 1 01010010 00010011 00000000
1 1 0 01010010 00000000 01010010

// read test

0 0 0 00000000 00000000 01010010
0 0 0 00000000 00000000 01010010
0 0 0 00000000 00000000 01010010
0 0 1 00000000 00000000 00000000
0 0 0 00000000 00000000 00000000
0 0 0 00000000 00000000 00000000
0 0 0 00000000 00000000 00000000

