//(ls ,cuenta, reg_contr, reg_datos);

//reset
0 1 00000000000000000000000000000000 00000000000000000000000000000000    // 0h
0 0 00000000000000000000000000000000 00000000000000000000000000000000   // 0h
0 0 00000000000000000000000000000000 00000000000000000000000000000000  // 0h

//prueba de send

0 1 00000000000000000000000000000000 00000000000000000000000000000000  // fh
0 0 00000000000000000000000000000000 00000000000000000000000000000000   // fh
0 0 00000000000000000000000000000010 00000000000000000000000000000000   // 0h
0 0 00000000000000000000000000000010 00000000000000000000000000000000   // fh
0 0 00000000000000000000000000000010 00000000000000000000000000000000  // fh
0 0 00000000000000000000000011110010 00000000000000000000000000000000 // fh
0 0 00000000000000000000000011110010 00000000000000000000000000000000 // fh

//prueba de comandos

0 1 00000000000000000000000000000010  00000000000000000000000000000010// 0h

0 0 00000000000000000000000000000010   00000000000000000000000000000010// fh
0 0 00000000000000000000000011110010   00000000000000000000000000000010// fh

0 0 00000000000000000000000011110010   00000000000000000000000000000010// 1h
0 0 00000000000000000000000000010010  00000000000000000000000000000010// 1h

0 0 00000000000000000000000000010010   00000000000000000000000000000010// 2h
0 0 00000000000000000000000000100010  00000000000000000000000000000010// 2h

// prueba intermedia de RDY 

0 0 00000000000000000000000000100010  00000000000000000000000000000010// 1h
0 0 00000000000000000000000000100010  00000000000000000000000000000010// 1h

// reset intermedio
//sel_addr_dat, send, comando, dato, rst, data_in, data_out

0 0 00000000000000000000000000100010   00000000000000000000000000000010// 0h
0 0 00000000000000000000000000000000  00000000000000000000000000000010// 0h


// continuando con los comandos

0 0 00000000000000000000000000000000  00000000000000000000000000110010// 3h
0 0 00000000000000000000000000110010  00000000000000000000000000110010// 3h

0 0 00000000000000000000000000110010   00000000000000000000000000110010// 4h
0 0 00000000000000000000000001000010  00000000000000000000000000110010// 4h

0 0 00000000000000000000000001000010  00000000000000000000000000110010// 5h
0 1 00000000000000000000000001010010  00000000000000000000000000110010 // 5h

0 0 00000000000000000000000001010010 00000000000000000000000000110010// 6h
0 0 00000000000000000000000001100010   00000000000000000000000000110010// 6h

0 0 00000000000000000000000001100010  00000000000000000000000000110010 // 7h
0 0 00000000000000000001111001110010   00000000000000000001111001110010 // 7h
0 0 00000000000000000001111001110010   00000000000000000001111001110010 // 7h
0 0 00000000000000000000000000011100  00000000000000000001111001110010  // 7h

0 0 00000000000000000000000000011100 00000000000000000001111001110010  // 8h
1 1 00000000000000000001110010000010  00000000000000000001111001110010 // 8h
1 0 00000000000000000001110010000010  00000000000000000001111001110010 // 8h
0 1 00000000000000000000000001001100   00000000000000000001111001110010 // 8h

0 0 00000000000000000000000001001100  00000000000000000001111001110010 // 9h
0 0 00000000000000000000000110010010   00000000000000000001111001110010 // 9h

0 0 00000000000000000000000110010010   00000000000000000001111001110010 // Ah
1 0 00000000000000000101011010100010  00000000000000000001111001110010  // Ah
