//(sel_addr_dat, send, comando, dato, rst, data_in, data_out, reg_sel, wr);

//reset
0 1 0000 00000000 0 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // 0h
0 0 0000 00000000 1 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // 0h
0 1 0000 00000000 1 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // 0h

//prueba de send

0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // fh
0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // fh
0 1 0000 00000000 0 00000000000000000000000000000001 00000000000000000000000000000010 0 1  // 0h
0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000000000010 0 1  // fh
0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000000000010 0 1  // fh
0 1 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000011110010 0 1  // fh
0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000011110010 0 1  // fh

//prueba de comandos

0 1 0000 00000000 0 00000000000000000000000000000001 00000000000000000000000000000010 0 1  // 0h

0 0 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000000000010 0 1  // fh
0 1 1111 00000000 0 00000000000000000000000000000001 00000000000000000000000011110010 0 1  // fh

0 0 0001 00000000 0 00000000000000000000000000000001 00000000000000000000000011110010 0 1  // 1h
0 1 0001 00000000 0 00000000000000000000000000000001 00000000000000000000000000010010 0 1  // 1h

0 0 0010 00000000 0 00000000000000000000000000000001 00000000000000000000000000010010 0 1  // 2h
0 1 0010 00000000 0 00000000000000000000000000000001 00000000000000000000000000100010 0 1  // 2h

// prueba intermedia de RDY 

0 0 0001 00000000 0 00000000000000000000000000000110 00000000000000000000000000100010 0 1  // 1h
0 1 0001 00000000 0 00000000000000000000000000000110 00000000000000000000000000100010 0 1  // 1h

// reset intermedio
//sel_addr_dat, send, comando, dato, rst, data_in, data_out, reg_sel, wr

0 0 0100 00010000 1 00000000000000000000000000000001 00000000000000000000000000100010 0 1  // 0h
0 1 0100 00010000 1 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // 0h


// continuando con los comandos

0 0 0011 00000000 0 00000000000000000000000000000001 00000000000000000000000000000000 0 0  // 3h
0 1 0011 00000000 0 00000000000000000000000000000001 00000000000000000000000000110010 0 1  // 3h

0 0 0100 00000000 0 00100000000000000000000000000001 00000000000000000000000000110010 0 1  // 4h
0 1 0100 00000000 0 00100000000000000000000000000001 00000000000000000000000001000010 0 1  // 4h

0 0 0101 01100001 0 00100000000000000000000000000001 00000000000000000000000001000010 0 1  // 5h
0 1 0101 00000000 0 00100000000000000000000000000001 00000000000000000000000001010010 0 1  // 5h

0 0 0110 00000000 0 00100000000000000000000000000001 00000000000000000000000001010010 0 1  // 6h
0 1 0110 00000000 0 00100000000000000000000000000001 00000000000000000000000001100010 0 1  // 6h

0 0 0111 00011100 0 00100000000000000001111000000001 00000000000000000000000001100010 0 1  // 7h
0 1 0111 00011100 0 00100000000000000001111000000001 00000000000000000001111001110010 0 1  // 7h
1 0 0111 00011100 0 00100000000000000001111000000001 00000000000000000001111001110010 0 1  // 7h
1 1 0111 00011100 0 00100000000000000001111000000001 00000000000000000000000000011100 1 1  // 7h

0 0 1000 00011100 0 00100000000000000000000000000001 00000000000000000000000000011100 1 1  // 8h
0 1 1000 00011100 0 00100000000000000000000000000001 00000000000000000001110010000010 0 1  // 8h
1 0 1000 00011100 0 00100000000000000000000000000001 00000000000000000001110010000010 0 1  // 8h
1 1 1000 01001100 0 00100000000000000000000000000001 00000000000000000000000001001100 1 1  // 8h

0 0 1001 00011100 0 00100000000000000000000100000001 00000000000000000000000001001100 1 1  // 9h
0 1 1001 00011100 0 00100000000000000000000100000001 00000000000000000000000110010010 0 1  // 9h

0 0 1010 01010110 0 00100000000000000000000100000001 00000000000000000000000110010010 0 1  // Ah
0 1 1010 01010110 0 00100000000000000000000100000001 00000000000000000101011010100010 0 1  // Ah
