0 0000 00000000 1 0000 00000000
0 0000 00000000 1 0000 00000000
0 0000 00000000 1 0000 00000000
1 0101 10010110 0 0101 10010110
0 0000 00000000 0 0101 10010110
0 0000 00000000 0 0111 10010110
0 0000 00000000 0 0111 10010110
0 0000 00000000 0 0111 10010110
0 0000 00000000 0 0111 10010110
0 0000 00000000 0 0101 10010110
0 0000 00000000 0 0101 10010110
0 0000 00000000 1 0101 10010110
0 0000 00000000 1 0101 10010110
1 1001 01110110 0 1001 01110110
1 0000 00000000 0 1001 01110110
1 0000 00000000 0 1011 01110110
1 0000 00000000 0 1011 01110110
1 0000 00000000 0 1011 01110110
1 0000 00000000 0 1011 01110110
1 0000 00000000 0 1001 01110110
1 0000 00000000 0 1001 01110110
0 0000 00000000 1 1001 01110110
0 0000 00000000 1 1001 01110110
0 0000 00000000 1 1001 01110110
1 1101 01000010 0 1101 01000010
1 0000 00000000 0 1101 01000010
0 0000 00000000 0 1111 01000010
0 0000 00000000 0 1111 01000010
0 0000 00000000 0 1111 01000010
1 0100 01010010 0 1111 01000010
0 0000 00000000 0 1101 01000010
0 0000 00000000 0 1101 01000010
0 0000 00000000 1 1101 01000010
