// i_reg_control,
// i_reg_datos,

// check_o_in2_reg_control,
// check_o_wr2_reg_control,
// check_o_in2_reg_datos,
// check_o_wr2_reg_datos,

// i_ready_traductor, // ls en traductor
// i_control_traductor,
// i_dato_traductor,
// check_o_enable_traductor_bar, // conta en traductor
// check_o_contador_instruccion_traductor, // listo en traductor

// i_ready_temporizador,
// check_o_program_temporizador,
// check_o_control_temporizador,
// check_o_dato_temporizador,

// i_dato_router,
// check_o_direccion_router

0000_00F2 0  0000_0000 0 0 0  0 0 0000_0000 1 00  1 0 0000 0000_0000  0000_0000 0 inactivo
0000_00F2 0  0000_0000 0 0 0  0 0 0000_0000 1 00  1 0 0000 0000_0000  0000_0000 0 leerregs
0000_00F2 0  0000_00F0 1 0 0  0 0 0000_0000 1 00  1 0 0000 0000_0000  0000_0000 0 exec
0000_00F2 0  0000_00F0 1 0 0  0 0 0000_0000 1 00  1 0 0000 0000_0000  0000_0000 0 exec_2
0000_00F0 0  0000_00F0 1 0 0  1 0 0000_0001 0 00  1 0 0000 0000_0000  0000_0000 0 exec
// primer instruccion
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 1 0000 0000_0001  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0000 0000_0001  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  0 0 0000 0000_0001  0000_0000 0 --------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 1 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  0 0 0100 0000_0000  0000_0000 1 --------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  1000_0000 0 leer_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  0000_0000 0 deci_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 1 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  0 0 0100 0000_0000  0000_0000 1 -------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  0 0 0100 0000_0000  0000_0000 1 -------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  0000_0000 0 leer_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0001 0 00  1 0 0100 0000_0000  0000_0000 0 deci_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 0 deci_tr
// segunda instruccion
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 1 0000 0000_1100  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0000 0000_1100  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  0 0 0000 0000_1100  0000_0000 0 --------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 1 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  0 0 0100 0000_0000  0000_0000 1 --------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  1000_0000 0 leer_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 0 deci_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 1 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  0 0 0100 0000_0000  0000_0000 1 -------
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 0 leer_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_1100 0 01  1 0 0100 0000_0000  0000_0000 0 deci_bf
0000_00F0 0  0000_00F0 0 0 0  1 0 0000_0100 0 10  1 0 0100 0000_0000  0000_0000 0 deci_tr
// tercera instruccion
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  1 1 0000 0000_0100  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  1 0 0000 0000_0100  0000_0000 0 traducir
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  0 0 0000 0000_0100  0000_0000 0 --------
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  1 1 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  1 0 0100 0000_0000  0000_0000 1 exec_bf
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  0 0 0100 0000_0000  0000_0000 1 --------
0000_00F0 0  0000_00F0 0 0 0  0 0 0000_0100 0 10  1 0 0100 0000_0000  1000_0000 0 leer_bf
