

// reset test

000 000 000 0 1 00000000 00000000 00000000

// write test

000 000 000 1 0 01001101 01001101 01001101
000 000 001 1 0 10000000 01001101 01001101
000 000 010 1 0 00000000 01001101 01001101
000 000 011 1 0 11000111 01001101 01001101
000 000 100 1 0 00101110 01001101 01001101
000 000 101 1 0 10001110 01001101 01001101
000 000 110 1 0 00001110 01001101 01001101
000 000 111 1 0 00010011 01001101 01001101

// read test

111 110 000 0 0 00000000 00010011 00001110
110 001 000 0 0 00000000 00001110 10000000
011 100 000 0 0 00000000 11000111 00101110
100 101 000 0 0 00000000 00101110 10001110
101 000 000 0 0 00000000 10001110 01001101
000 010 000 0 0 00000000 01001101 00000000
001 111 000 0 0 00000000 10000000 00010011
010 011 000 0 0 00000000 00000000 11000111
